Date,Close,Volume,Open,High,Low
02-01-24,$248.42 ,104654200,$250.08 ,$251.25 ,$244.41 
03-01-24,$238.45 ,121082600,$244.98 ,$245.68 ,$236.32 
04-01-24,$237.93 ,102629300,$239.25 ,$242.70 ,$237.73 
05-01-24,$237.49 ,92488940,$236.86 ,$240.12 ,$234.90 
08-01-24,$240.45 ,85166580,$236.14 ,$241.25 ,$235.30 
09-01-24,$234.96 ,96705660,$238.11 ,$238.96 ,$232.04 
10-01-24,$233.94 ,91628500,$235.10 ,$235.50 ,$231.29 
11-01-24,$227.22 ,105873600,$230.57 ,$230.93 ,$225.37 
12-01-24,$218.89 ,123043800,$220.08 ,$225.34 ,$217.15 
16-01-24,$219.91 ,115355000,$215.10 ,$223.49 ,$212.18 
17-01-24,$215.55 ,103164400,$214.86 ,$215.67 ,$212.01 
18-01-24,$211.88 ,108595400,$216.88 ,$217.45 ,$208.74 
19-01-24,$212.19 ,102260300,$209.99 ,$213.19 ,$207.56 
22-01-24,$208.80 ,117952500,$212.26 ,$217.80 ,$206.27 
23-01-24,$209.14 ,106605900,$211.30 ,$215.65 ,$207.75 
24-01-24,$207.83 ,123369900,$211.88 ,$212.73 ,$206.77 
25-01-24,$182.63 ,198076800,$189.70 ,$193.00 ,$180.06 
26-01-24,$183.25 ,107343200,$185.50 ,$186.78 ,$182.10 
29-01-24,$190.93 ,125013100,$185.63 ,$191.48 ,$183.67 
30-01-24,$191.59 ,109982300,$195.33 ,$196.36 ,$190.61 
31-01-24,$187.29 ,103221400,$187.00 ,$193.97 ,$185.85 
01-02-24,$188.86 ,91843280,$188.50 ,$189.88 ,$184.28 
02-02-24,$187.91 ,110612700,$185.04 ,$188.69 ,$182.00 
05-02-24,$181.06 ,134294400,$184.26 ,$184.68 ,$175.01 
06-02-24,$185.10 ,122676000,$177.21 ,$186.49 ,$177.11 
07-02-24,$187.58 ,111535200,$188.18 ,$189.79 ,$182.68 
